labels,all_crashes,number_of_crashes,center_lat,center_lng
2124,0,3,55.977208,37.154231333333335
2125,0,2,55.868764999999996,37.496348499999996
2130,0,2,55.577402,37.570066499999996
2131,0,2,55.893267,37.662645499999996
2137,0,2,55.8551515,37.4374745
2138,0,3,55.705678,37.76453033333333
2139,0,2,55.887602,37.661921500000005
2152,0,2,55.612474500000005,37.4941275
2154,0,2,55.7918935,37.589604
2155,0,2,55.6545265,37.521803
2157,0,2,55.831616999999994,37.6420035
2159,0,4,55.7762125,37.540352999999996
2162,0,2,55.606221000000005,37.7429565
2163,0,2,55.654253999999995,37.6193815
2169,0,2,55.629486,37.5991845
2171,0,2,55.7081795,37.8102045
2174,4,2,55.616555000000005,37.78018
2177,0,2,55.8466235,37.36079
2204,0,2,55.7768265,37.747102999999996
2205,1,4,55.699645000000004,37.5664455
2218,0,2,55.851758000000004,37.396114499999996
2219,0,2,55.801085,37.5818465
2224,0,2,55.679826,37.8491825
2226,0,2,55.701662999999996,37.475218
2234,0,2,55.679251,37.642711500000004
2245,0,2,55.761086500000005,37.838754
2246,0,2,55.664167500000005,37.4802715
2247,0,2,55.754047,37.569916
2254,0,2,55.7386665,37.4920895
2270,0,2,55.791435,37.574492500000005
2273,0,2,55.7049605,37.6176275
2274,0,2,55.632808,37.4454025
2276,0,2,55.6457875,37.4517865
2277,0,4,55.81379025,37.39281
2280,0,2,55.792479,37.5586995
2281,0,2,55.7170525,37.900016
2282,0,2,55.736138499999996,37.698898
2285,0,2,55.6562725,37.8389315
2289,0,4,55.80281725,37.63616125
2291,0,3,55.716904,37.744703666666666
2296,0,2,55.550628,37.542638
2297,0,2,55.795947,37.496681499999994
2298,0,2,55.7240045,37.736540500000004
2305,0,2,55.6428755,37.360849
2308,0,2,55.6041115,37.669351
2309,0,2,55.795187,37.799272
2315,0,2,55.6780685,37.625389999999996
2324,0,2,55.5751575,37.6530595
2332,0,2,55.806945999999996,37.504792
2333,0,2,55.614862,37.605429
2335,0,2,55.711628000000005,37.6217685
2343,0,2,55.8060295,37.549215
2354,0,3,55.880803666666665,37.441091666666665
2357,0,2,55.7193155,37.511084499999996
2359,0,2,55.728998000000004,37.446937
2360,0,2,55.7070585,37.730865
2361,0,2,55.69207350000001,37.272701
2363,0,2,55.752429,37.5320915
2373,0,3,55.761766333333334,37.53980766666667
2378,0,2,55.748773,37.5605605
2385,0,2,55.764524,37.578295499999996
2390,0,3,55.82583266666666,37.833666666666666
2401,0,2,55.663172,37.617016
2413,0,2,55.7080675,37.818219
2418,0,2,55.7413385,37.862078499999996
2424,0,3,55.848965666666665,37.419423
2426,0,2,55.6804915,37.513804500000006
2430,1,2,55.666182500000005,37.650302499999995
2436,0,2,55.770315,37.474671
2442,2,6,55.88972416666667,37.5867035
2446,1,2,55.6395695,37.45883
2448,0,2,55.880261000000004,37.533985
2449,0,4,55.5953845,37.60285675
2453,0,2,55.592963999999995,37.29242
2454,0,2,55.747399,37.651557499999996
2456,0,2,55.859156,37.448997
2467,0,2,55.618333500000006,37.3900365
2469,0,2,55.719068,37.7034525
2472,0,2,55.801932,37.513493499999996
2473,1,2,55.573640999999995,37.637379499999994
2476,0,2,55.898645,37.4239665
2490,0,2,55.714453500000005,37.590472500000004
2502,0,2,55.5880895,37.5432925
2510,0,3,55.738004000000004,37.525666666666666
2520,0,2,55.843720000000005,37.3559675
2527,0,2,55.8285165,37.3538055
2529,0,2,55.8522635,37.4396625
2533,0,3,55.665647,37.75266433333333
2534,0,2,55.652547,37.395303999999996
2537,1,3,55.743798,37.841606
2538,0,2,55.8798155,37.72262
2544,0,2,55.576986000000005,37.5903225
2553,0,3,55.847383666666666,37.37343533333333
2554,0,3,55.75293,37.58303033333333
2556,0,2,55.752781999999996,37.6051925
2571,0,2,55.733046,37.61774
2574,0,2,55.7768925,37.529587
